review,sentiment
"First off, I cannot believe how mad this game has made me.  I like all kinds of games, but honestly trying to figure out some of the levels in this game left me stumped.  It's one thing to be stuck somewhere and have to retry a lot, but several times during this game I was stuck in an area and had no idea where to do/what to do, etc... even after I killed all the bad guys I didn't know how to get out of the room.  This game is not intuitive (sp?) at all!<br /><br />Secondly, this game should not be called the Incredibles, it should be called Mr. Incredible, because you play as him almost all the time.  Playing as Elasta-Girl is great, I really enjoyed that part, but when there are a lot of baddies with guns, Mr. Incredible is a pain since he has no way to block anything, so you spend a lot of time getting pushed back until the bad guys reload.<br /><br />I liked the first mission as Dash (when you play as Dash, which is only twice) you have to run fast; however the second mission I just lost my patience because I had to restart about a million times because I couldn't see what was ahead of me.<br /><br />Playing a Violet was bad, they should have done a lot more with her instead of a boring stealth mission.  The Incredi-ball mission Incredibi-sucked, it took me like an hour to hit something because it was in a difficult place.<br /><br />I'm just finishing up the game now and quite frankly I haven;'t enjoyed a lot of it, which is a shame because I really loved the movie.  Some of the levels are too hard because you can barely find the way to do something and Mr. Incredible needs to do more than punch people.  Currently I'm on the Rocket Silo level and I keep falling down trying to get onto a platform.  What a load of fun that is to do 100 times or more.  <br /><br />Bottom line:  Playing as Elasta-girl was fun, everything else was either blah, or made me want to swear a lot.  Hopefully the second game will be better.  I'll be renting that instead of buying, this game left me disappointed overall",negative
"Shouldn't you  people know by now?Say it with me:NEVER BUY MOVIE GAMES.A friend of mine bought it and it was horrible.It was way too easy to die in,etc,etc,etc.Hey listen.Keep you money.Your investment isn't in here",negative
"I bought the KR Party bundle for my boyfriend's daughter for her birthday. She loves the game, but it has only been about two weeks and the mic is dead. It started with the static for a while, but then while I was singing, it just died completely. I know I'm not a great singer, but I'm not THAT bad",negative
"I bought this mic in December and after only two nights of singing, it completely died!  What a complete disappointment.  Save your money! ",negative
"This game was originally released for 10 dollars. Almost everything about it is pulled straight from Diablo and is not quite as good. Though this game has a few things about it that are interesting, and can be enjoyable to some people, I would just skip this game and go for Diablo 2",negative
"This game is, simply put, not good. I got bored to tears playing it, then ended up giving it away because it was robbing useful space on my desk. It is slow-paced, predictable, and not suspenseful at all. In fact, these characteristics are probably why it's so mainstream, even though it's laughable in comparison to real first-person shooters, which by the way don't even belong on consoles. Owning at this game means you are an average player. Any true FPS gamer knows what childish, pathetic garbage this is, while the rest just go with the hype. Many have successfully deceived themselves into thinking it's worth anything at all. It isn't",negative
"I used to love this game, but there are so many better games out there, plus this game is overated, with a not so good storyline, and nerdy weapons, it's just not good",negative
the vertical stand is wonderfull... but why? you can do this with 2 useless dvd cases and some duck tape... I put my PS slim vertically and it helps but why waste the time buying the product? I bought it just for kicks... literally,negative
"If you're looking to spend money on this, don't. Having spent my teen years holed up in my bedroom on a Commodore 64 (and being the current fan that I am), I was really excited when I heard about this product. Unfortunately, it stinks. There are a couple of games on this contraption that are real gems, the rest being mediocre at best. The overall bad choice of games isn't my issue with this thing though. It's the CRUMMY JOYSTICK. Control is horrible. The stick is clunky and unresponsive and makes playing a real chore. As someone else pointed out in their review, often it doesn't even respond when pushed in a certain direction. I can't believe it's 2006 yet these companies releasing plug-n-play video game contraptions can't even make a decent joystick! A real letdown",negative
"Not as much fun as I remember. Maybe better if they had a better selection of games (One on One, Hardball, etc.",negative
"I purchased this product for my niece,having had positive experiences with similar items,and finding the price to be too tempting.However,what had been the hope of introducing her to the videogames of my generation turned into an exercise in frustration from the outset.The screw to the battery casing stripped with very little application of a screwdriver,the titles suffered from redundancy,and many of them required the use of too many buttons.What was the most disappointing aspect of this item was the potential it possessed; perhaps fewer similar titles and a re-configuration of the button commands would ensure the promise of this product",negative
"I was really excited when I saw this item was out!  I had the Commodore 64 when I was a kid, and my brother and I used to spend hours and hours playing games on it.  I was so glad to see that Winter Games and Summer Games was included.... until the item arrived and I plugged it in and tried to play with it.. the joystick doesn't work at ALL when you move it to the right.  So, you can only use it to go up down or left. <br /><br />BIG Dissapointment.  Don't waste your $$",negative
"This second part of Xenosaga compares very badly to the stellar first part, regardless of what anyone says.  I no longer wanted to play this game after only 30 minutes.<br /><br />The game begins with lots of boring instructions for a very non-intuitive battle system.  Annoying amount of experience points is needed to defeat nearly every main enemy, including the very first one.  Battle result and saving screens are a painful chore.<br /><br />Battle camera is inadequate and characters look and act like small puppets.  The game has very few items, weapons, or armor to deal with even ordinary enemies, which are stronger than expected.  The skill combination that will be successful on a main enemy is not available until engaged by that enemy.  Battles with main enemies are long, which isn't such a problem.  However, they often conveniently power up at the end of the battle, just to frustratingly finish off a battle-weakened party.<br /><br />Voice acting is very uninspired and sometimes even annoying.  I don't remember any music from this game, so plain it is.  Some character changes are likely to upset at least half of everyone who liked the first Xenosaga.  Very noticeable is the use of swearing, which is the main reason I don't enjoy or watch Hollywood movies during my rest and relaxation anymore.<br /><br />New, meaningless characters have been introduced into the story, and the focus shifted far away from the main characters.  The cover character hardly says or does anything this time.  There is one short scene between the main characters during a critical moment, but if you blink you will miss it.<br /><br />This game is far more frustrating than challenging, which is not a good game trait.  I don't recommend even playing this game before reading the above, to fully prepare for the disappointment that awaits.  If you're looking forward to anything that made the first Xenosaga great, you will be extremely disappointed.  The second Xenosaga is better completely avoided.",negative
"I loved the first Xenosaga. Then, this arrived. Episode 2 isen't a bad game in terms of the story, the intro is absolutely DYNAMITE. Then you get into a battle. Now, if you like tactical stuff, this is a good game for you. But if you're trying to fight your way through a hoard of enemies to get to a save point in record timing, I say save your money. Gone is the amazingly well-done battle system in the first episode. In its place stands a completely out-of-nowhere new way of battling that takes 15 minutes to get rid of a couple of easy enemies( the easy ones in this game have around 2000 Hps). Ridiculous, but that's not all. The enemies have weak zones that depend of the height of the attack that you input.The zones are A,B and C, A being the highest. Triangle=C, square=B and Circle=A -SOMETIMES-. See what I mean? It's completely screwed-up and you have to become deeply<br />addicted to the game to understand its full potential. And if       that wasn't enough, they changed the voice actors too. Kos-Mos's <br />voice sounds more like an operator than a robot's and Momo sounds like a brat. At least, chaos' voice has improved. I'd prefer playing episode 1 twice than playing this. I just hope Namco comes out with a better sequel, otherwise spend your moey on something else (like Shadow Hearts, for example).    ",negative
"Pros:<br />- Mechs are a bigger part of the games (you actually have to use them),<br />- The graphics of the cutscreens are great, and the graphics overall are better <br />   than before,<br />- A couple of the characters look better,<br />- Much harder than Episode I,<br />- More optional bosses,<br /><br />Cons:<br />- New battle system is a load of mouse spunk (can I say spunk?),<br />- Most characters look worse (especially Kos-Mos), and Jin travels<br />   throughout space with no pants on,<br />- Almost all of the sidequests are terrible,<br />- Very short,<br />- The story is much weaker,<br />- The dictionary is gone; and so are Shion's glasses,<br />- No shops. Why are there no shops?<br />- Too much more to list.  Just bad.  The movie Howard the Duck is better than<br />   this",negative
"We got this game free in a box of Corn Chex. We thought, Oh this will be fun since the show is cool. So we got home and played it and it was so annoying! There's just like a black screen before and after the question shows up and a black background. Just, don't buy it if you want to have any fun",negative
"When Disney Interactive released &quot;Who Wants to Be a Millionaire,&quot; in early 2000, they anticipated a very warm response to the disc, which had a firm but low opening price. However, when actually being played, the game is sure to depress. If it isn't crudely simple, the design is poor and uninspired. The entire game is essentially based on one lackluster thing: Regis Philbin repeating the same phrases over and over again. &quot;Be Sure to come back to... Who Wants to be a Millionaire.&quot; &quot;I hope you'll join me again on... Who Wants to be a Millionaire.&quot; If one doesn't decide to resell (or simply trash) this game within its first week of purchase, they work for Disney Interactive or are Regis themselves. Don't waste your time on this pitiful effort",negative
"Driving physics are as unrealistic as they can get.  Obtaining licenses is extremely difficult, made worse by poor car physics.  Your heavy car easily bounces off light cars, while light cars easily derail your heavy car.  Turning the steering wheel only slightly produces heavy tire squeal, and that's with sports tires!<br /><br />Long gone are the ESPN-like replays of GT 2.  For some reason cars look thinner than before.  The analog tachometer has been reduced to just a bar across the screen.  The 3D mechanics can be headache prone, made worse by the poor physics of the cars.  Easily the most inadequate music ever.<br /><br />The game makes you start with a used model of only certain makes, which is nothing new.  However, it takes a long time to earn any money for a better car.  Only 7 horsepower upgrades make huge differences on the track?!  The game has mostly only newer models, almost none from a few years ago, unlike in GT 2.<br /><br />The only good thing about this game is that you don't have to drive all the time.  The B-Spec driving mode can win races for you.  Just leave for a few minutes and return to a victory screen.  This can help in skipping the painful, early parts of the game.<br /><br />The powertrain is still not modifiable.  Compression, bore, stroke, camshaft timing/overlap, valve size, and other engine characteristics are still not available.  With poor driving physics, engine modification would not have helped this game.<br /><br />Loading times are very long, with the most annoying loading indicator ever.  Constant auto saving feature is quick but can become annoying.  There is an excessive amount of confirmation screens.<br /><br />This game is a yet another disappointment, much like GT 3 was.  The makers of this game made it quite clear that if you want to know what the real cars drive like, you will have to drive them for real.  The Gran Tourismo series are over, unlikely to return to what they used to be.  I'm not a racing game fan, but only GT 2 was good enough for me to buy.  If you want good, car make-independent physics, you need to play Gran Tourismo 2.",negative
DOn't buy this - it will crash your entire xbox.  Learn to play - forget the cheats,negative
"If you are looking for codes like Game Shark had, this is not for you.  Not only do you HAVE to have a computer, If anything happens to the disk, you are screwed.  You won't be able reinstall windows, or install it on a new computer.  Some games do offer rewards like unlimited health for %100 completion.  So if those are they games you plan on using,  this is the best thing out there",negative
returned item for refund; found it cheaper at Toys R U,negative
SMALL MEMORY WHICH MEANS THAT U CAN ONLY PUT 1 SAVE ON IT SO U HAVE TO RUN BACK TO YOUR COMP EVERYTIME U WANNA SAVE!!! AND SOFTWARE IS VEERY CONFUSING!!! HORRIBLE BUY!!! I RETURNED THE PIECE OF JUNK!!,negative
